year,region,uf,station_name,wmo_code,latitude,longitude,altitude,foundation_date,name (wmo)
2016,se,mg,timoteo,a511,-19.5736111,-42.62222221,333.0,2006-02-22,timoteo (a511)
2016,se,mg,ituiutaba,a512,-18.95277777,-49.52499999,560.0,2006-05-12,ituiutaba (a512)
2016,se,mg,ouro branco,a513,-20.54583333,-43.76944443,1061.0,2006-07-28,ouro branco (a513)
2016,se,mg,sao joao del rei,a514,-21.22638888,-44.97944443,991.0,2006-06-09,sao joao del rei (a514)
2016,se,mg,varginha,a515,-21.56638888,-45.40416666,955.0,2006-07-13,varginha (a515)
2016,se,mg,passos,a516,-20.74499999,-46.63388888,784.0,2006-07-16,passos (a516)
2016,se,mg,muriae,a517,-21.10472222,-42.37583332,297.0,2006-08-30,muriae (a517)
2016,se,mg,juiz de fora,a518,-21.76999999,-43.36416666,950.0,2007-05-26,juiz de fora (a518)
2016,se,mg,campina verde,a519,-19.53916666,-49.51805554,555.2,2006-07-15,campina verde (a519)
2016,se,mg,conceicao das alagoas,a520,-19.98583333,-48.15138888,568.0,2006-07-18,conceicao das alagoas (a520)
2016,se,mg,pampulha,a521,-19.88416666,-43.96944443,869.0,2006-10-10,pampulha (a521)
2016,se,mg,serra dos aimores,a522,-17.7986111,-40.24972221,208.0,2006-08-21,serra dos aimores (a522)
2016,se,mg,patrocinio,a523,-18.99638888,-46.98583333,976.0,2006-08-22,patrocinio (a523)
2016,se,mg,formiga,a524,-20.45472222,-45.45388888,873.0,2006-08-17,formiga (a524)
2016,se,mg,sacramento,a525,-19.87527777,-47.43416666,912.0,2006-08-19,sacramento (a525)
2016,se,mg,montalvania,a526,-15.08583333,-44.01583333,512.0,2007-06-26,montalvania (a526)
2016,se,mg,teofilo otoni,a527,-17.9,-41.51666666,475.0,2006-08-25,teofilo otoni (a527)
2016,se,mg,tres marias,a528,-18.20055555,-45.45972222,921.0,2006-08-25,tres marias (a528)
2016,se,mg,passa quatro,a529,-22.3961111,-44.96166666,1040.0,2007-05-30,passa quatro (a529)
2016,se,mg,caldas,a530,-21.91805554,-46.38305554,1150.0,2006-11-28,caldas (a530)
2016,se,mg,maria da fe,a531,-22.31444444,-45.37277777,1276.33,2006-12-01,maria da fe (a531)
2016,se,mg,governador valadares,a532,-18.83027777,-41.97666666,214.0,2007-05-27,governador valadares (a532)
2016,se,mg,guanhaes,a533,-18.78666666,-42.94305555,860.0,2007-06-02,guanhaes (a533)
2016,se,mg,aimores,a534,-19.53277777,-41.09083333,83.74,2007-08-05,aimores (a534)
2016,se,mg,florestal,a535,-19.88527778,-44.41694444,750.0,2008-06-27,florestal (a535)
2016,se,mg,dores do indaia,a536,-19.48166666,-45.59388888,722.0,2007-06-01,dores do indaia (a536)
2016,se,mg,diamantina,a537,-18.2311111,-43.64805555,1356.0,2007-06-05,diamantina (a537)
2016,se,mg,curvelo,a538,-18.76444444,-44.45361111,670.0,2006-12-18,curvelo (a538)
2016,se,mg,mocambinho,a539,-15.08583333,-44.01611111,460.0,2007-11-11,mocambinho (a539)
2016,se,mg,mantena,a540,-18.78027777,-40.98583333,213.5,2007-08-01,mantena (a540)
2016,se,mg,capelinha,a541,-17.70527777,-42.38916666,948.0,2007-08-31,capelinha (a541)
2016,se,mg,unai,a542,-16.55388888,-46.88194443,631.0,2007-06-16,unai (a542)
2016,se,mg,espinosa,a543,-14.91277777,-42.82972221,569.64,2007-11-14,espinosa (a543)
2016,se,mg,buritis,a544,-15.52416666,-46.43555555,894.0,2007-06-19,buritis (a544)
2016,se,mg,pirapora,a545,-17.25777777,-44.83555555,503.0,2007-07-04,pirapora (a545)
2016,se,mg,guarda-mor,a546,-17.56166666,-47.19944444,616.0,2007-07-11,guarda-mor (a546)
2016,se,mg,sao romao,a547,-16.3625,-45.12388888,460.0,2007-06-30,sao romao (a547)
2016,se,mg,chapada gaucha,a548,-15.31,-45.61666666,880.0,2007-06-22,chapada gaucha (a548)
2016,se,mg,aguas vermelhas,a549,-15.75222222,-41.45833333,740.0,2007-09-09,aguas vermelhas (a549)
